Date,Campaign name,adset name (optional),Spends,Impressions,clicks,Check
2023-12-13,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,113.83,28649,13,
2023-12-13,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,209.14,32103,16,
2023-12-14,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,88.82,23847,13,
2023-12-14,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,113.81,28192,15,
2023-12-14,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,209.23,32083,14,
2023-12-15,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,89.18,22974,11,
2023-12-15,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,114.03,26826,9,
2023-12-15,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,173.46,26099,17,
2023-12-16,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,89.06,24988,11,
2023-12-16,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,114.11,30246,10,
