Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2023-10-20,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-22,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-24,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-25,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-27,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-28,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-29,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-30,,Interest & KW - Woman - FR,0.00,3,0,
2023-10-31,,Interest & KW - Woman - FR,0.00,1,0,
2023-11-01,,Interest & KW - Woman - FR,0.00,1,0,
2023-11-04,,Interest & KW - Woman - FR,0.00,6,0,
2024-06-25,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-01,,Interest & KW - Men - FR,0.00,1,0,
2023-10-02,,Interest & KW - Men - FR,0.00,4,0,
2023-10-03,,Interest & KW - Men - FR,0.00,4,0,
2023-10-04,,Interest & KW - Men - FR,0.00,7,0,
2023-10-05,,Interest & KW - Men - FR,0.00,1,0,
2023-10-06,,Interest & KW - Men - FR,0.00,4,0,
2023-10-08,,Interest & KW - Men - FR,0.00,2,0,
2023-10-09,,Interest & KW - Men - FR,0.00,2,0,
2023-10-10,,Interest & KW - Men - FR,0.00,2,0,
2023-10-11,,Interest & KW - Men - FR,0.00,5,0,
2023-10-13,,Interest & KW - Men - FR,0.00,1,0,
2023-10-14,,Interest & KW - Men - FR,0.00,4,0,
2023-10-15,,Interest & KW - Men - FR,0.00,1,0,
2023-10-16,,Interest & KW - Men - FR,0.00,1,0,
2023-10-18,,Interest & KW - Men - FR,0.00,2,0,
2023-10-19,,Interest & KW - Men - FR,0.00,4,0,
2023-10-20,,Interest & KW - Men - FR,0.00,4,0,
2023-10-22,,Interest & KW - Men - FR,0.00,2,0,
2023-10-23,,Interest & KW - Men - FR,0.00,3,0,
2023-10-25,,Interest & KW - Men - FR,0.00,11,2,
2023-10-27,,Interest & KW - Men - FR,0.00,1,0,
2023-10-28,,Interest & KW - Men - FR,0.00,1,0,
2023-10-29,,Interest & KW - Men - FR,0.00,1,0,
2023-10-30,,Interest & KW - Men - FR,0.00,4,0,
2023-10-31,,Interest & KW - Men - FR,0.00,1,0,
2023-11-01,,Interest & KW - Men - FR,0.00,4,0,
2023-11-02,,Interest & KW - Men - FR,0.00,4,0,
2023-11-03,,Interest & KW - Men - FR,0.00,2,0,
2023-11-04,,Interest & KW - Men - FR,0.00,5,0,
2023-11-05,,Interest & KW - Men - FR,0.00,10,0,
2023-11-06,,Interest & KW - Men - FR,0.00,1,0,
2023-11-07,,Interest & KW - Men - FR,0.00,2,0,
2023-11-08,,Interest & KW - Men - FR,0.00,3,0,
2023-11-09,,Interest & KW - Men - FR,0.00,6,0,
2023-11-10,,Interest & KW - Men - FR,0.00,2,0,
2023-11-12,,Interest & KW - Men - FR,0.00,2,0,
2023-11-14,,Interest & KW - Men - FR,0.00,2,0,
2023-11-15,,Interest & KW - Men - FR,0.00,2,0,
2023-11-16,,Interest & KW - Men - FR,0.00,1,0,
2023-11-19,,Interest & KW - Men - FR,0.00,1,0,
2023-11-22,,Interest & KW - Men - FR,0.00,1,0,
2023-11-23,,Interest & KW - Men - FR,0.00,2,0,
2023-11-24,,Interest & KW - Men - FR,0.00,3,0,
2023-11-25,,Interest & KW - Men - FR,0.00,2,0,
2023-11-26,,Interest & KW - Men - FR,0.00,2,0,
2023-11-28,,Interest & KW - Men - FR,0.00,1,0,
2023-11-29,,Interest & KW - Men - FR,0.00,1,0,
2023-11-30,,Interest & KW - Men - FR,0.00,1,0,
2023-12-01,,Interest & KW - Men - FR,0.00,1,0,
2023-12-05,,Interest & KW - Men - FR,0.00,1,0,
2023-12-06,,Interest & KW - Men - FR,0.00,6,1,
2023-12-08,,Interest & KW - Men - FR,0.00,2,0,
2023-12-09,,Interest & KW - Men - FR,0.00,3,0,
